LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
Musée du Petit Palais   Paris,43.9510231,4.8065348,Musee Du Petit Palais   Vaucluse   France,Bing Maps,Unknown
Musée Eugène Delacroix   Paris,48.8569298,2.3412001,Paris   Paris   France,Bing Maps,city/town
Musée Fabre   Montpellier,43.61199950,3.88000010,Musee Fabre   Hérault   France,Bing Maps,Museum
Musée Fabre   Montpellier,43.6119995,3.8800001,Musee Fabre   Hérault   France,Bing Maps,Museum
Musée Girodet   Montargis,47.99845120,2.73306990,Montargis   Loiret   France,Bing Maps,city/town
Musée Granet   Aix-en-Provence,43.52539830,5.45270010,Musee Granet   Bouches-du-Rhône   France,Bing Maps,Unknown
Musée historique   Strasbourg,48.5799103,7.7509351,Musée Historique   Bas-Rhin   France,Bing Maps,LandmarkBuilding
Musée Ingres   Montauban,44.01694110,1.35167000,Musee Ingres   Tarn-et-Garonne   France,Bing Maps,Museum
Musée Ingres   Montauban,44.0169411,1.35167,Musee Ingres   Tarn-et-Garonne   France,Bing Maps,Museum
Musée Jenisch   Vevey,46.46226120,6.84302000,Vevey   Switzerland,Bing Maps,city/town
Musée Malraux   Le Havre,49.4935913,0.10097,Le Havre   Seine-Maritime   France,Bing Maps,city/town
Musée Marmottan Monet   Paris,48.8592987,2.2672999,Musee Marmottan Monet   Paris   France,Bing Maps,Museum
Musée Maurice Denis   Saint-Germain-en-Laye,48.8983994,2.09199,St.-Germain-en-Laye   Yvelines   France,Bing Maps,city/town
Musée Municipal d'Étampes   Étampes,48.4347115,2.1619799,Étampes   Essonne   France,Bing Maps,city/town
Musée Municipal Frederic Blandin   Nevers,46.98902130,3.15722990,Nevers   Nièvre   France,Bing Maps,city/town
Musée Municipal   Angoulòme,-29.6994991,-51.4720383,Municipal   Brazil,Bing Maps,Neighborhood
Musée Municipal   Cholet,47.06259160,-0.88068000,Cholet   Maine-et-Loire   France,Bing Maps,city/town
Musée Napoléonien   Ile d'Aix,46.01129150,-1.17451000,Île-d'Aix   Charente-Maritime   France,Bing Maps,city/town
Musée National d'Histoire et d'Art   Luxembourg,49.6116371,6.1338801,Musée National d'Histoire et d'Art   Luxembourg,Bing Maps,LandmarkBuilding
Musée National des Beaux-Arts   Algiers,36.78055950,3.03901000,Algiers   Algeria,Bing Maps,city/town
Musée National du Château de Malmaison   Rueil,48.87739940,2.17912010,Rueil-Malmaison   Hauts-de-Seine   France,Bing Maps,city/town
Musée National du Château   Fontainebleau,48.40499110,2.70119000,Fontainebleau   Seine-et-Marne   France,Bing Maps,city/town
Musée National du Château   Versailles,38.73413850,41.49063870,Muş   Turkey,Bing Maps,city/town
Musée National du Château   Versailles,35.230083,128.653147,GYEONGSANGNAMDO UICHANGGU  CHANGWONSI DUDAERO,Bing Maps,address
Musée national Eugène Delacroix   Paris,48.854599,2.3354001,Musee National Eugene Delacroix   Paris   France,Bing Maps,Museum
Musée National Gustave-Moreau   Paris,48.8613892,2.33444,Musee National Gustave Moreau   Paris   France,Bing Maps,Museum
Musée Picasso   Paris,48.8569298,2.3412001,Paris   Paris   France,Bing Maps,city/town
Musée Pissarro   Pontoise,49.0506096,2.1006,Pontoise   Val-d'Oise   France,Bing Maps,city/town
Musée Renan Scheffer   Paris,48.8617,2.28247,Rue Scheffer   75116 Paris   France,Bing Maps,street
Musée Rodin   Paris,48.855278,2.3158331,Musée Rodin   Pyrénées-Atlantiques   France,Bing Maps,Museum
Musée Rupert de Chièvres   Poitiers,46.5838699,0.33569,Poitiers   Vienne   France,Bing Maps,city/town
Musée Thomas Henry   Cherbourg,49.64046860,-1.61608000,Cherbourg   Manche   France,Bing Maps,city/town
Musée Thomas-Henry   Cherbourg-Octeville,49.6404686,-1.61608,Cherbourg   Manche   France,Bing Maps,city/town
Musée Toulouse-Lautrec   Albi,43.9291687,2.14306,Musee Toulouse Lautrec   Tarn   France,Bing Maps,Unknown
Musée Wiertz   Brussels,50.8360481,4.3706141,Brussels Region,Bing Maps,state/province
Museen der Stadt   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Museen der Stadt   Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province
Musées Royaux des Beaux-Arts   Brussels,50.83604810,4.37061410,Brussels Region,Bing Maps,state/province
Musées Royaux des Beaux-Arts   Brussels,50.8360481,4.3706141,Brussels Region,Bing Maps,state/province
Musei Vaticani   Rome,41.90128710,12.48792170,Gardens of Vatican City   Laz.   Italy,Bing Maps,Park
Museo Civico Giovanni Fattori   Leghorn,43.5529099,10.3199797,Leghorn   Tosc.   Italy,Bing Maps,city/town
Museo Civico Giovanni Fattori   Livorno,43.5529099,10.3199797,Leghorn   Tosc.   Italy,Bing Maps,city/town
Museo Civico   Turin,45.0696793,7.7049198,Turin   Piem.   Italy,Bing Maps,city/town
Museo Correr   Venice,45.43350980,12.33828350,Museo Correr   Ven.   Italy,Bing Maps,LandmarkBuilding
Museo Correr   Venice,45.4335098,12.3382835,Museo Correr   Ven.   Italy,Bing Maps,LandmarkBuilding
Museo d'Arte Moderna   Ca' Pesaro   Venice,45.4403801,12.3311453,Ca' Pesaro   Ven.   Italy,Bing Maps,LandmarkBuilding
Museo d'Arte Moderna   Ca' Pesaro   Venice,45.44038010,12.33114530,Ca' Pesaro   Ven.   Italy,Bing Maps,LandmarkBuilding
Museo de Arte Moderno   Barcelona,41.3856087,2.16872,Barcelona   Catalonia   Spain,Bing Maps,city/town
Museo de Bellas Artes   Bilbao,43.2686882,-2.94607,Bilbao   Basque Country   Spain,Bing Maps,city/town
Museo de Bellas Artes   Valencia,39.4686813,-0.37691,Valencia   Valencia   Spain,Bing Maps,city/town
Museo de la Real Academia de San Fernando   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Museo del Prado   Madrid,40.4138145,-3.6921949,Prado Museum   Community of Madrid   Spain,Bing Maps,PointOfInterest
Museo del Prado   Madrid,40.41381450,-3.69219490,Prado Museum   Community of Madrid   Spain,Bing Maps,PointOfInterest
Museo del Risorgimento   Milan,45.4679604,9.1817799,Milan   Lomb.   Italy,Bing Maps,city/town
Museo di Roma   Rome,41.90322110,12.49565030,Rome   Laz.   Italy,Bing Maps,city/town
Museo Lázaro Galdiano   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Museo Lázaro Galdiano   Madrid,40.42028050,-3.70577000,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Museo Municipal   Madrid,40.4258194,-3.7006049,Museo Municipal   Community of Madrid   Spain,Bing Maps,LandmarkBuilding
Museo Nacional de Bellas Artes   Buenos Aires,-34.60849,-58.3734398,Buenos Aires   Argentina,Bing Maps,city/town
Museo Nazionale di Capodimonte   Naples,40.84014130,14.25226020,Naples   Camp.   Italy,Bing Maps,city/town
Museo Nazionale di Capodimonte   Naples,40.8401413,14.2522602,Naples   Camp.   Italy,Bing Maps,city/town
Museo Poldi Pezzoli   Milan,45.4679604,9.1817799,Milan   Lomb.   Italy,Bing Maps,city/town
Museo Romántico   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Museo Thyssen-Bornemisza   Madrid,40.4160233,-3.695015,Museo Thyssen Bornemisza   Community of Madrid   Spain,Bing Maps,LandmarkBuilding
Museo Thyssen-Bornemisza   Madrid,40.41602330,-3.69501500,Museo Thyssen Bornemisza   Community of Madrid   Spain,Bing Maps,LandmarkBuilding
Museu Calouste Gulbenkian   Lisbon,38.7257004,-9.1502504,Lisbon   Portugal,Bing Maps,city/town
Museu Calouste Gulbenkian   Lisbon,38.72570040,-9.15025040,Lisbon   Portugal,Bing Maps,city/town
Museu d'Art Contemporani   Barcelona,41.3856087,2.16872,Barcelona   Catalonia   Spain,Bing Maps,city/town
Museu de Arte   São Paulo,-23.53657,-46.47972,Rua Museu Real   Artur Alvim   Sao Paulo - SP   03694-230   Brazil,Bing Maps,street
Museu Nacional d'Art de Catalunya   Barcelona,41.3856087,2.16872,Barcelona   Catalonia   Spain,Bing Maps,city/town
Museum and Art Gallery   Warrington,53.3938713,-2.58935,Warrington   Warrington   United Kingdom,Bing Maps,city/town
Museum Boijmans Van Beuningen   Rotterdam,51.915699,4.4558001,Rotterdam   Netherlands,Bing Maps,city/town
Museum der bildenden Künste   Leipzig,51.34519960,12.38593960,Leipzig   SN   Germany,Bing Maps,city/town
Museum der bildenden Künste   Leipzig,51.3451996,12.3859396,Leipzig   SN   Germany,Bing Maps,city/town
Museum Folkwang   Essen,51.4422836,7.004643,Museum Folkwang   NW   Germany,Bing Maps,Unknown
Museum for Modern Art   Belgrade,44.8130989,20.4632607,Belgrade   Serbia,Bing Maps,city/town
Museum für Kunst und Kulturgeschichte   Dortmund,51.5166092,7.4582901,Dortmund   NW   Germany,Bing Maps,city/town
Museum Kunstpalast   Düsseldorf,51.2349892,6.7729902,Museum Kunstpalast   NW   Germany,Bing Maps,Unknown
Museum Langmatt   Baden,47.4749489,8.3064003,Baden   Switzerland,Bing Maps,city/town
Muséum National d'Histoire Naturelle   Paris,48.85692980,2.34120010,Paris   Paris   France,Bing Maps,city/town
Museum of Art   Cleveland,41.50473020,-81.69074250,Cleveland   OH,Bing Maps,city/town
Museum of Art   Cleveland,41.5047302,-81.6907425,Cleveland   OH,Bing Maps,city/town
Museum of Art   Hiroshima,34.3807068,132.4653931,Hiroshima   Japan,Bing Maps,city/town
Museum of Art   Indianapolis,39.7669106,-86.1499634,Indianapolis   IN,Bing Maps,city/town
Museum of Art   Philadelphia,39.9522209,-75.162178,Philadelphia   PA,Bing Maps,city/town
Museum of Art   Rhode Island School of Design   Providence,41.8261108,-71.4074936,Rhode Island School of Design   RI,Bing Maps,PointOfInterest
Museum of Art   Santa Barbara,34.4193802,-119.6990509,Santa Barbara   CA,Bing Maps,city/town
Museum of Fine Arts   Boston,42.33937450,-71.09413150,Museum Of Fine Arts   MA,Bing Maps,PointOfInterest
Museum of Fine Arts   Boston,42.3393745,-71.0941315,Museum Of Fine Arts   MA,Bing Maps,PointOfInterest
Museum of Fine Arts   Houston,29.7256145,-95.3903732,Museum of Fine Arts   TX,Bing Maps,LandmarkBuilding
Museum of Fine Arts   Montreal,45.5124016,-73.5546875,Montreal   QC,Bing Maps,city/town
Museum of Fine Arts   St. Petersburg   Florida,27.7711906,-82.6387634,St Petersburg   FL,Bing Maps,city/town
Museum of Moden Art   New York,40.7606773,-73.9764633,The Museum of Modern Art   NY,Bing Maps,PointOfInterest
Museum of Modern Art   New York,40.7606773,-73.9764633,The Museum of Modern Art   NY,Bing Maps,PointOfInterest
Museum Schloss Fasanerie   Eichenzell,50.4928818,9.6980696,Eichenzell   HE   Germany,Bing Maps,city/town
Museum voor Schone Kunsten   Ghent,51.05562970,3.72856000,Ghent   Belgium,Bing Maps,city/town
Museum voor Schone Kunsten   Ghent,51.0556297,3.72856,Ghent   Belgium,Bing Maps,city/town
Muzeul Judetean Mures   Targu Mures,46.5425682,24.5580006,Târgu Mureş   Romania,Bing Maps,city/town
Muzeul K.H. Zambaccian   Bucharest,44.4414597,26.0892906,Bucharest,Bing Maps,state/province
Muzeul National de Arta   Bucharest,44.4414597,26.0892906,Bucharest,Bing Maps,state/province
Muzeum Narodowe   Cracow,51.7310715,18.5078697,Kraków   Poland,Bing Maps,city/town
Muzeum Narodowe   Poznan,52.4094696,16.9382801,Poznań   Poland,Bing Maps,city/town
Muzeum Narodowe   Warsaw,52.23558040,21.01026920,Warsaw   Poland,Bing Maps,city/town
Muzeum Narodowe   Warsaw,52.2355804,21.0102692,Warsaw   Poland,Bing Maps,city/town
Národni Galeria   Bratislava,48.14925,17.1069908,Bratislava   Slovakia,Bing Maps,city/town
Národní Galerie   Prague,49.97992,14.39363,U Národní galerie   156 00 Prague   Czech Republic,Bing Maps,street
Národní Galerie   Prague,50.0667992,14.4658461,Prague,Bing Maps,state/province
Nasjonalgalleriet   Oslo,59.9122887,10.75,Oslo   Norway,Bing Maps,city/town
National Gallery of Art   Washington,38.8913078,-77.0199585,National Gallery of Art   DC,Bing Maps,PointOfInterest
National Gallery of Art   Washington,38.89130780,-77.01995850,National Gallery of Art   DC,Bing Maps,PointOfInterest
National Gallery of Australia   Canberra,-35.3003998,149.1367798,National Gallery of Australia   Australia,Bing Maps,Museum
National Gallery of Canada   Ottawa,45.4217796,-75.6911926,Ottawa   ON,Bing Maps,city/town
National Gallery of Ireland   Dublin,53.3480682,-6.24827,Dublin   Ireland,Bing Maps,city/town
National Gallery of Ireland   Dublin,53.34806820,-6.24827000,Dublin   Ireland,Bing Maps,city/town
National Gallery of Scotland   Edinburgh,55.95090100,-3.19566110,Scottish National Gallery   United Kingdom,Bing Maps,Museum
National Gallery of Scotland   Edinburgh,55.950901,-3.1956611,Scottish National Gallery   United Kingdom,Bing Maps,Museum
National Gallery of Victoria   Melbourne,-37.8225937,144.9686279,National Gallery of Victoria   Australia,Bing Maps,Museum
National Gallery   London,51.5083351,-0.128056,National Gallery   United Kingdom,Bing Maps,BusinessStructure
National Gallery   London,51.50833510,-0.12805600,National Gallery   United Kingdom,Bing Maps,BusinessStructure
National Maritime Museum   Greenwich,51.4811096,-0.005556,National Maritime Museum   United Kingdom,Bing Maps,Museum
National Maritime Museum   Greenwich,51.48110960,-0.00555600,National Maritime Museum   United Kingdom,Bing Maps,Museum
National Museum of American Art   Washington,38.8978767,-77.0225601,Smithsonian American Art Museum   DC,Bing Maps,PointOfInterest
National Museum of Wales   Cardiff,51.4855156,-3.1770201,National Museum of Wales   United Kingdom,Bing Maps,TouristStructure
National Museum of Western Art   Tokyo,35.6840782,139.8088531,Tokyo   Japan,Bing Maps,city/town
National Museum   Belgrade,44.8130989,20.4632607,Belgrade   Serbia,Bing Maps,city/town
National Museum   Cardiff,51.4812698,-3.1807201,Cardiff   Cardiff   United Kingdom,Bing Maps,city/town
National Portrait Gallery   London,51.50642010,-0.12721000,London   London   United Kingdom,Bing Maps,city/town
National Portrait Gallery   London,51.5064201,-0.12721,London   London   United Kingdom,Bing Maps,city/town
National Trust   Stourhead,51.10610960,-2.31777810,Stourhead   United Kingdom,Bing Maps,LandmarkBuilding
Nationalgalerie   Berlin,52.51607130,13.37697980,Berlin   BE   Germany,Bing Maps,city/town
Nationalgalerie   Berlin,52.5160713,13.3769798,Berlin   BE   Germany,Bing Maps,city/town
Nationalmuseet   Copenhagen,55.6765289,12.5819702,Copenhagen   Denmark,Bing Maps,city/town
Nationalmuseum   Stockholm,59.3284798,18.0785007,National Museum of Art   Sweden,Bing Maps,PointOfInterest
Nelson-Atkins Museum of Art   Kansas City,39.0449104,-94.5810089,Nelson-Atkins Museum of Art   MO,Bing Maps,PointOfInterest
Neue Galerie der Stadt Linz   Wolfgang-Gurlitt-Museum   Linz,48.3042297,14.2881203,Linz   Austria,Bing Maps,city/town
Neue Galerie in der Stallburg   Vienna,48.2070427,16.3670921,Stallburg   Austria,Bing Maps,TouristStructure
Neue Galerie   Kassel,51.3117599,9.49119,Cassel   HE   Germany,Bing Maps,city/town
Neue Pinakothek   Munich,48.14996720,11.57095530,Neue Pinakothek   BY   Germany,Bing Maps,LandmarkBuilding
Neue Pinakothek   Munich,48.1499672,11.5709553,Neue Pinakothek   BY   Germany,Bing Maps,LandmarkBuilding
New York Historical Society   New York,40.7792969,-73.9742813,New-York Historical Society Museum & Library   NY,Bing Maps,PointOfInterest
Newarke Houses Museum   The Newarke   Leicester,52.631826,-1.135727,Newarke Street   Leicester   LE1 5,Bing Maps,street
Niedersächsisches Landesmuseum   Hannover,52.37226870,9.73814960,Hannover   NI   Germany,Bing Maps,city/town
Niedersächsisches Landesmuseum   Hannover,52.3722687,9.7381496,Hannover   NI   Germany,Bing Maps,city/town
Norrköpings Konstmuseum   Norrköping,58.5846291,16.1938705,Norrköping   Sweden,Bing Maps,city/town
Norton Museum of Art   West Palm Beach   Florida,26.7005634,-80.0531235,Norton Museum of Art   FL,Bing Maps,PointOfInterest
Norton Simon Museum of Art   Pasadena,34.1474495,-118.1442719,Pasadena   CA,Bing Maps,city/town
Norton Simon Museum of Art   Pasadena,34.14744950,-118.14427190,Pasadena   CA,Bing Maps,city/town
Norwich Castle Museum and Art Gallery   Norwich,52.6284103,1.295985,Castle Museum   United Kingdom,Bing Maps,LandmarkBuilding
Ny Carlsberg Glyptotek   Copenhagen,55.6765289,12.5819702,Copenhagen   Denmark,Bing Maps,city/town
Öffentliche Kunstsammlung   Basel,47.5488014,7.58781,Basel   Switzerland,Bing Maps,city/town
Ohara Museum of Art   Kurashiki,34.6026001,133.7676697,Kurashiki   Japan,Bing Maps,city/town
Oratorio San Filippo Neri   Florence,43.78237150,11.25498960,Florence   Tosc.   Italy,Bing Maps,city/town
Ordrupgaard   Charlottenlund,55.7532616,12.5721798,Charlottenlund   Denmark,Bing Maps,city/town
Ordrupgaardsamlingen   Ordrupgaard,55.7669449,12.5633345,Ordrupgaard   Denmark,Bing Maps,TouristStructure
Oskar Reinhart Collection   Winterthur,47.4985199,8.7329903,Winterthur   Switzerland,Bing Maps,city/town
Österreichische Galerie Belvedere   Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province
Österreichische Galerie Belvedere   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Österreichsche Galerie   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Palacio Real   Madrid,40.41782,-3.714395,Palácio Real   Community of Madrid   Spain,Bing Maps,LandmarkBuilding
Palais des Beaux-Arts   Lille,50.6304588,3.06282,Palais des Beaux-Arts   Nord   France,Bing Maps,LandmarkBuilding
Palazzo Belloni Battagia   Venice,45.43812180,12.31816010,Venice   Ven.   Italy,Bing Maps,city/town
Palazzo Bianchi-Bandinelli   Siena,43.32548140,11.33071040,Siena   Tosc.   Italy,Bing Maps,city/town
Palazzo Ducale   Lucca,43.84106060,10.50185110,Palazzo Ducale   Tosc.   Italy,Bing Maps,TouristStructure
Palazzo Grassi   Venice,45.43374630,12.32788560,Grassi Palace   Ven.   Italy,Bing Maps,LandmarkBuilding
Palazzo Milzetti   Faenza,44.28387830,11.88813970,Faenza   Em.Rom.   Italy,Bing Maps,city/town
Palazzo Pubblico   Siena,43.3181801,11.3318558,Palazzo Comunale   Tosc.   Italy,Bing Maps,TouristStructure
Palazzo Reale   Turin,45.07305910,7.68635990,Palazzo Reale   Piem.   Italy,Bing Maps,HistoricalSite
Palazzo Reale   Turin,45.0730591,7.6863599,Palazzo Reale   Piem.   Italy,Bing Maps,HistoricalSite
Parrish Art Museum   Southampton,50.9099693,-1.4070899,Southampton   Southampton   United Kingdom,Bing Maps,city/town
Pennsylvania Academy of Fine Arts   Philadelphia,39.9556427,-75.1633911,Academy of Fine Arts   PA,Bing Maps,PointOfInterest
Petit Palais   Paris,48.8660622,2.314965,Petit Palais   Paris   France,Bing Maps,LandmarkBuilding
Phillips Collection   Washington,38.9117393,-77.0470352,The Phillips Collection   DC,Bing Maps,PointOfInterest
Pinacoteca Civica   Brescia,45.53659060,10.23204040,Brescia   Lomb.   Italy,Bing Maps,city/town
Pinacoteca Civica   Brescia,45.5365906,10.2320404,Brescia   Lomb.   Italy,Bing Maps,city/town
Pinacoteca di Brera   Milan,45.471489,9.1877298,Brera   Lomb.   Italy,Bing Maps,Neighborhood
Pinacoteca Tosio Martinengo   Brescia,45.53659060,10.23204040,Brescia   Lomb.   Italy,Bing Maps,city/town
Pommersches Landesmuseum   Greifswald,54.0973091,13.3842297,Greifswald   MV   Germany,Bing Maps,city/town
Prins Eugens Waldemarsudde   Stockholm,59.3325691,18.0668297,Stockholm   Sweden,Bing Maps,city/town
Public Library   New York,40.71455,-74.0071411,New York   NY,Bing Maps,city/town
Pushkin Museum   Moscow,55.75696180,37.61500930,Moscow   Russia,Bing Maps,city/town
Pushkin Museum   Moscow,55.7569618,37.6150093,Moscow   Russia,Bing Maps,city/town
Raccolte Frugone   Nervi   Genova,44.3833313,9.0401497,Nervi   Lig.   Italy,Bing Maps,Neighborhood
Residenzgalerie   Salzburg,47.8006516,13.0433702,Salzburg   Austria,Bing Maps,city/town
Rijksmuseum Kröller-Müller   Otterlo,52.1000099,5.7714601,Otterlo   Netherlands,Bing Maps,city/town
Rijksmuseum Vincent van Gogh   Amsterdam,52.3348007,4.8705301,Amsterdam   Netherlands,Bing Maps,city/town
Rijksmuseum   Amsterdam,52.35997010,4.88532500,Rijksmuseum   Netherlands,Bing Maps,Museum
Rijksmuseum   Amsterdam,52.3599701,4.885325,Rijksmuseum   Netherlands,Bing Maps,Museum
Rippl-Rónai Museum   Kaposvár,46.3552818,17.7852592,Kaposvár   Hungary,Bing Maps,city/town
Rippl-Rónai Múzeum   Kaposvár,46.3552818,17.7852592,Kaposvár   Hungary,Bing Maps,city/town
Riva dei Schiavoni   Venice,45.43812180,12.31816010,Venice   Ven.   Italy,Bing Maps,city/town
Rose Art Museum   Brandeis University   Waltham,42.366394,-71.2590103,Brandeis University   MA,Bing Maps,HigherEducationFacility
Rotunda   US Capitol   Washington,38.8903694,-77.0319595,Washington   DC,Bing Maps,city/town
Royal Academy of Arts   London,51.5086594,-0.13913,Royal Academy of Arts   United Kingdom,Bing Maps,HigherEducationFacility
Royal Academy of Arts   London,51.50865940,-0.13913000,Royal Academy of Arts   United Kingdom,Bing Maps,HigherEducationFacility
Royal Collection   London,51.5064201,-0.12721,London   London   United Kingdom,Bing Maps,city/town
Royal Collection   Windsor,42.31784820,-83.03386690,Windsor   ON,Bing Maps,city/town
Royal Collection   Windsor,42.3178482,-83.0338669,Windsor   ON,Bing Maps,city/town
Saal der Rache   Niebelungensäle   Residenz   Munich,48.1411095,11.5780554,Munich Residenz   BY   Germany,Bing Maps,LandmarkBuilding
Saarländisches Landesmuseum   Saarbrücken,49.2314911,6.9983301,Saarbrücken   SL   Germany,Bing Maps,city/town
Saint-Roch   Paris,48.86516000,2.33280000,Passage Saint-Roch   75001 Paris   France,Bing Maps,street
Saint-Sulpice   Paris,48.85078,2.33283,Place Saint-Sulpice   75006 Paris   France,Bing Maps,street
Sala del Risorgimento   Palazzo Pubblico   Siena,43.3181801,11.3318558,Palazzo Comunale   Tosc.   Italy,Bing Maps,TouristStructure
Salon du Roi   Palais Bourbon   Paris,48.8613701,2.3167851,Palais Bourbon   Paris   France,Bing Maps,LandmarkBuilding
Sammlung Schack   Munich,48.1364098,11.5775404,Munich   BY   Germany,Bing Maps,city/town
San Antonio de la Florida   Madrid,29.4245796,-98.4946136,San Antonio   TX,Bing Maps,city/town
San Diego Museum of Art   San Diego,32.7321167,-117.150444,San Diego Museum of Art   CA,Bing Maps,PointOfInterest
Schloss Charlottenburg   Berlin,52.5206413,13.2953253,Schloss Charlottenburg   BE   Germany,Bing Maps,PointOfInterest
Schloss Nymphenburg   Munich,48.1582909,11.5044346,Nymphenburg Palace   BY   Germany,Bing Maps,LandmarkBuilding
Schloss Sanssouci   Berlin,52.5160713,13.3769798,Berlin   BE   Germany,Bing Maps,city/town
Schönbrunn Palace   Vienna,48.1817398,16.3103104,Schönbrunn Palace   Austria,Bing Maps,TouristStructure
Scripps College   Claremont,34.103981,-117.7101364,Scripps College   CA,Bing Maps,HigherEducationFacility
Shelburne Museum   Shelburne,44.3700066,-73.2316818,Shelburne Museum   VT,Bing Maps,PointOfInterest
Singer Museum   Laren,52.25,5.2329998,Laren   Netherlands,Bing Maps,city/town
Sir John Soane's Museum   London,51.5171013,-0.116914,Sir John Soane's Museum   United Kingdom,Bing Maps,LandmarkBuilding
Skagens Museum   Skagen,57.7248116,10.5961399,Skagen   Denmark,Bing Maps,city/town
Smith College Museum of Art   Northampton,52.2339401,-0.89528,Northampton   Northamptonshire   United Kingdom,Bing Maps,city/town
Smithsonian American Art Museum   Washington,38.8978767,-77.0225601,Smithsonian American Art Museum   DC,Bing Maps,PointOfInterest
St. Paul's Cathedral   London,51.51361080,-0.09805600,St. Paul's Cathedral   United Kingdom,Bing Maps,Church
Staatliche Graphische Sammlung   Munich,48.1444969,11.5665951,Staatliche Graphische Sammlung   BY   Germany,Bing Maps,LandmarkBuilding
Staatliche Graphische Sammlung   Munich,48.14449690,11.56659510,Staatliche Graphische Sammlung   BY   Germany,Bing Maps,LandmarkBuilding
Staatliche Kunsthalle   Karlsruhe,49.0118027,8.3997993,Staatliche Kunsthalle Karlsruhe   BW   Germany,Bing Maps,Unknown
Staatliche Kunstsammlungen   Dresden,51.0536308,13.7408104,Dresden   SN   Germany,Bing Maps,city/town
Staatliche Kunstsammlungen   Weimar,50.9769516,11.3278704,Weimar   TH   Germany,Bing Maps,city/town
Staatliche Museen   Berlin,52.51607130,13.37697980,Berlin   BE   Germany,Bing Maps,city/town
Staatliche Museen   Berlin,52.5160713,13.3769798,Berlin   BE   Germany,Bing Maps,city/town
Staatliche Museen   Kassel,51.3117599,9.49119,Cassel   HE   Germany,Bing Maps,city/town
Staatliches Museum   Schwerin,53.6259117,11.4165697,Schwerin   MV   Germany,Bing Maps,city/town
Staatsgalerie   Stuttgart,48.78009410,9.18692020,Staatsgalerie Stuttgart   BW   Germany,Bing Maps,LandmarkBuilding
Staatsgalerie   Stuttgart,48.7800941,9.1869202,Staatsgalerie Stuttgart   BW   Germany,Bing Maps,LandmarkBuilding
Städelsches Kunstinstitut   Frankfurt,50.11207960,8.68340970,Frankfurt   HE   Germany,Bing Maps,city/town
Städelsches Kunstinstitut   Frankfurt,50.1120796,8.6834097,Frankfurt   HE   Germany,Bing Maps,city/town
Städtische Galerie im Lenbachhaus   Munich,48.146946,11.5637445,Lenbachhaus   BY   Germany,Bing Maps,HistoricalSite
State Russian Museum   St. Petersburg,59.9387436,30.3323841,Museu Russo   Russia,Bing Maps,LandmarkBuilding
State Tretyakov Gallery   Moscow,55.7569618,37.6150093,Moscow   Russia,Bing Maps,city/town
State Tretyakov Gallery   Moscow,55.75696180,37.61500930,Moscow   Russia,Bing Maps,city/town
Statens Museum for Kunst   Copenhagen,55.67652890,12.58197020,Copenhagen   Denmark,Bing Maps,city/town
Statens Museum for Kunst   Copenhagen,55.6765289,12.5819702,Copenhagen   Denmark,Bing Maps,city/town
Stedelijk Museum   Amsterdam,52.3348007,4.8705301,Amsterdam   Netherlands,Bing Maps,city/town
Sterling and Francine Clark Art Institute   Williamstown,-37.8607903,144.902359,Williamstown   Australia,Bing Maps,city/town
Szépmûvészeti Múzeum   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Tate Gallery   London,51.4908333,-0.127222,Tate Britain   United Kingdom,Bing Maps,Museum
Tel Aviv Museum   Tel Aviv,32.0822525,34.7794991,Tel Aviv   Israel,Bing Maps,city/town
Terra Foundation for American Art   Chicago,41.8842506,-87.6324463,Chicago   IL,Bing Maps,city/town
Terra Foundation for the Arts   Chicago,41.8842506,-87.6324463,Chicago   IL,Bing Maps,city/town
The Barnes Foundation   Merion,39.9930801,-75.2519836,Merion Park   PA,Bing Maps,city/town
The Hermitage   St. Petersburg,59.9331818,30.3060398,St Petersburg   Russia,Bing Maps,city/town
The Hermitage   St. Petersburg,59.93318180,30.30603980,St Petersburg   Russia,Bing Maps,city/town
Thielska Galleriet   Stockholm,59.3325691,18.0668297,Stockholm   Sweden,Bing Maps,city/town
Thorvaldsens Museum   Copenhagen,55.6765289,12.5819702,Copenhagen   Denmark,Bing Maps,city/town
Toledo Museum of Art   Toledo   Ohio,41.6584282,-83.5593948,Toledo Museum of Art   OH,Bing Maps,PointOfInterest
Turun Taidemuseo   Turku,60.4528008,22.2515507,Turku   Finland,Bing Maps,city/town
United States Capitol   Washington,38.88981630,-77.01057430,United States Capitol   DC,Bing Maps,Park
University Art Museum   Princeton,39.9672508,-75.1704712,Fairmount   PA,Bing Maps,Neighborhood
